2272,接受用于慈善教育事业的捐款2000万,溢达杨元龙教育基金有限公司,新疆溢达杨元龙教育基金会,新疆维吾尔自治区,2019.10.08-2020.09.30
2271,2019北京大学人文基金,光华教育基金会有限公司,北京大学教育基金会,北京市,2019.11.05-2020.09.19
2270,2019北京大学经济学院ACLI奖学金,美国寿险业协会,北京大学教育基金会,北京市,2019.12.01-2020.05.30
2269,2019北京大学生命科学学院億方高级人才基金,徐氏家族慈善基金会,北京大学教育基金会,北京市,2019.12.01-2020.11.30
2268,2019黄乾亨奖助学金及系列相关活动,黄乾亨基金,北京大学教育基金会,北京市,2019.11.05-2020.08.31
2267,2019北京大学中国研修班同学会助学金及系列活动,北京大学中研基金会有限公司,北京大学教育基金会,北京市,2019.11.05-2020.08.31
2266,2019蒋震奖学金、海外学术交流奖学金及相关活动,蒋震工业慈善基金（香港）有限公司,北京大学教育基金会,北京市,2019.12.01-2020.11.30
2265,源城区2019年“励协”奖学金活动,香港励协慈善基金会,河源市源城区志愿者协会,广东省,2019.11.23-2019.11.23
2264,澳大利亚“光明之行”赴中国广东省江门市新会区义诊,光明之行,江门市新会区人民医院,广东省,2019.11.20-2019.12.31
2263,大湾区青年合作发展计划-青年湾区佛山交流团,中华青年进步协会,佛山市青年联合会,广东省,2019.11.11-2019.11.12
2262,江洲医院担当新使命、奋斗新征程义诊活动,侨港岑氏宗亲会有限公司,恩平市君堂镇江洲卫生院,广东省,2019.12.07-2019.12.07
2261,"""关爱残障儿童发展”捐赠项目",中国孤儿援助协会,焦作市梦琳儿童家园,河南省,2019.11.01-2020.10.31
2260,2019年希望工程苗圃行动系列活动,苗圃行动 ,广东省青少年发展基金会,广东省,2019.11.20-2020.10.31
2259,香港圣约翰救伤队急救器材捐赠仪式暨院前技能学习班,香港圣约翰救护机构,梅州市120急救指挥中心,广东省,2019.12.29-2019.12.30
2258,州人民医院与美国塞瓦基金会、加拿大塞瓦协会眼科合作,加拿大塞瓦协会,甘孜藏族自治州人民医院,四川省,2019.10.31-2020.10.30
2257,纪念严宽祜奖学金,福慧慈善基金会有限公司,四川大学教育基金会,四川省,2019.11.14-2019.11.30
2256,严宽祜先生奖学金,福慧慈善基金会,四川省什邡中学,四川省,2019.11.10-2019.11.10
2255,甘孜州人民医院与美国塞瓦基金会眼科技术合作与交流,塞瓦基金会,甘孜藏族自治州人民医院,四川省,2019.10.31-2020.10.30
2254,西北农林科技大学美国胡氏慈善教育奖助学金项目,西北农林科技大学教育基金会（美国）,西北农林科技大学教育发展基金会,陕西省,2019.10.23-2020.10.22
2253,“共铸蓝色梦想-21世纪海上丝绸之路优才计划“远航,招商局慈善基金會有限公司,武汉理工大学教育发展基金会,"湖北省,北京市,广东省",2019.11.11-2019.12.31
2252,中国宠物猫选美秀,爱猫者协会,上海市虹口区商业联合会,上海市,2019.11.23-2020.04.30
2251,第九届文学伦理学批评国际学术研讨会,国际文学伦理学批评研究会,浙江大学外国语言文化与国际交流学院,浙江省,2019.11.08-2019.11.10
2250,濒危植物东北红豆杉的综合保护及项目交流与培训会,国际植物园保护联盟,中国科学院沈阳应用生态研究所,"辽宁省,吉林省,黑龙江省",2019.09.30-2019.12.31
2249,“侨爱尔玛奖教奖学金”项目,法国华人服装业总商会,四川省汶川县教育基金会,四川省,2019.10.20-2020.07.01
2248,濒危植物峨眉拟单性木兰的综合保护,国际植物园保护联盟,四川省自然资源科学研究院,四川省,2019.11.11-2019.12.31
2247,香港荃工校友会慈善基金到怀集县开展助学活动,香港荃湾官立工业中学校友会慈善基金有限公司,怀集县教育局学生资助管理中心,广东省,2019.11.18-2020.11.17
2246,惠州慈航联合香港两地一心到国内六省开展助学活动,两地一心,惠州市慈航公益协会,"江西省,贵州省,云南省,甘肃省,广西壮族自治区,广东省",2019.11.23-2020.11.22
2245,台山市端芬镇成务学校110周年校庆,台山端芬成务学校校友会,台山市端芬镇成务学校,广东省,2019.11.06-2019.11.06
2244,香港余氏宗亲会捐赠新宁杂志经费活动,香港余氏宗亲会,台山市新宁杂志社,广东省,2019.11.10-2019.11.10
2243,上海交大-国际传播学会（ICA）新媒体国际研讨会,国际传播学会,上海交通大学媒体与传播学院,上海市,2019.10.25-2019.10.26
2242,2019-2020年狮友善行显光明活动,香港港南狮子会,广东省封开县中医院,广东省,2019.11.15-2020.11.14
2241,李嘉诚基金会捐助支持女性发展项目,李嘉诚基金会有限公司,广东省汕头大学教育基金会,"新疆兵团,新疆维吾尔自治区,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区",2018.11.15-2019.11.14
2240,福建省书香校园--图书馆捐赠计划,铁人暖心慈善基金会有限公司,福建省星火助学公益服务中心,福建省,2019.10.01-2020.09.30
2239,阿拉善SEE “乐在农家”二期,可口可乐基金会,北京市企业家环保基金会,"北京市,广西壮族自治区,湖南省,重庆市,云南省",2019.11.15-2020.06.30
2238,中日关系青年学者国际研讨会,东芝国际交流财团,复旦大学日本研究中心,上海市,2019.10.12-2019.10.13
2237,百万圆桌拜访上海各大保险公司活动,百万圆桌,上海市浦东国际商会,上海市,2019.10.30-2019.11.01
2236,推广智障人士社区化和就业服务项目,德国米苏尔社会发展基金会,重庆市沙坪坝区慧灵社会工作服务中心,重庆市,2019.10.12-2019.12.31
2235,光华教育基金会捐设南京大学光华奖学金（2019）,光华教育基金会有限公司,南京大学教育发展基金会,江苏省,2019.10.21-2020.10.20
2234,第八届中美大学生体育文艺周 ,帕克十二联盟,教育部学生体育协会联合秘书处,"上海市,江苏省",2019.11.03-2019.11.09
2233,第五届中法大学生体育文艺周,法国大学生体育联合会,教育部学生体育协会联合秘书处,广东省,2019.10.27-2019.11.02
2232,2018年蒋震奖学金评选发放活动,蒋震工业慈善基金会（香港）有限公司,外交学院院长办公室,北京市,2019.11.18-2019.12.17
2231,葡语国家联合研究年会/2019,澳门国际研究所,对外经济贸易大学区域国别研究院,"北京市,广东省",2019.10.29-2019.10.31
2230,“中华文化与可持续发展”学术研讨会,财团法人中华文化永续发展基金会,清华大学全球可持续发展研究院,北京市,2019.11.15-2019.11.15
2229,助学扶贫爱心捐赠,新界元朗区坊众互助会有限公司,乐山市进出口商会,四川省,2019.11.04-2019.11.04
2228,第36届世界批发市场联合会大会,世界批发市场联合会,贵阳市投资促进局,贵州省,2019.10.30-2019.11.01
2227,精进大学生资助计划,精进基金有限公司,中国科学技术大学教育基金会,安徽省,2019.08.01-2020.07.31
2226,第十二届两岸专利论坛,台湾工业总会,中华全国专利代理人协会,北京市,2019.10.29-2019.10.30
2225,约翰·凯瑟克爵士社会工作奖励计划,凯瑟克基金会,中国社会工作教育协会,"北京市,广东省",2019.11.10-2020.11.09
2224,中国社会工作教育协会三年发展项目,凯瑟克基金会,中国社会工作教育协会,"北京市,重庆市",2019.10.15-2020.10.14
2223,希尔顿公益未来大学生成才基金支持,国际青年基金会,中国扶贫基金会,"北京市,上海市",2019.10.15-2020.10.14
2222,放射性污染控制的高标准和良好实,世界核电运营者协会东京中心,中国核能行业协会,浙江省,2019.10.27-2019.11.02
2221,UNLEASH 2019全球青年创新集训营,全球青年创新集训营,深圳市工业设计行业协会,广东省,2019.11.06-2019.11.13
2220,清华大学蒙民伟人文楼项目,信兴教育及慈善基金有限公司,清华大学教育基金会,北京市,2019.11.01-2020.10.31
2219,黑龙江大学中俄联合国际专业认证,俄罗斯联邦国家公共认证中心,教育部高等教育教学评估中心,黑龙江省,2019.11.11-2019.11.14
2218,北京论坛2019,韩国高等教育财团,北京大学,北京市,2019.11.01-2019.11.03
2217,国际多中心临床试验 & GCP相关考量培训课程,美国药品研究与制造企业协会,北京大学临床研究所,北京市,2019.11.11-2019.11.14
2216,中国国情研修班,意大利（中国）侨商会,清华大学继续教育学院,北京市,2019.10.22-2019.10.26
2215,油气探测新技术、新挑战及新机遇AAPG专题研讨会,美国石油地质学家协会,中国石油大学(北京）油气资源与探测国家重点实验室,北京市,2019.10.26-2019.10.28
2214,2019年“理律杯”模拟法庭竞赛活动及奖学金颁发,财团法人理律文教基金会,清华大学法学院,北京市,2019.11.15-2020.11.14
2213,湖南省特困学生助学金派发,中国烛光教育基金有限公司,湖南省妇女儿童发展基金会,湖南省,2019.10.31-2020.10.30
2212,第18届贾氏学者项目年会及相关活动,雅礼协会,中南大学湘雅医学院,湖南省,2019.10.14-2019.10.26
2211,敬老慰问活动,旅港顺德绵远堂,佛山市顺德区大良街道凤城敬老院,广东省,2019.10.26-2019.10.26
2210,白沙镇2019年华侨（乡亲）恳亲大会, 驻美台山宁阳总会馆,台山市白沙镇人民政府社会事务办,广东省,2019.11.05-2019.11.06
2209,世界伍氏宗亲总会第十一届恳亲代表大会,旅美伍胥山总公所,台山市越华中学,广东省,2019.10.26-2019.10.27
2208,第九届世界台山宁阳会馆（同乡会）联谊大会,加拿大温哥华台山会馆,台山市侨务局,广东省,2019.11.07-2019.11.09
2207,香港为普助学项目新增学生资助活动,为普顾问有限公司,仪陇县乡村发展协会,四川省,2019.11.01-2020.08.31
2206,铜仁市特困学生助学金派发,"中国烛光教育基金有限公司,中国烛光教育基金有限公司",麻阳河志愿者协会,贵州省,2019.10.30-2020.08.31
2205,支持中国渔业可持续发展项目,大卫与露西•派克德基金会,海南智渔可持续科技发展研究中心,海南省,2019.10.25-2020.10.24
2204,明德慈善会与我会开展“四援助”项目,明德慈善会,广东省妇女儿童基金会,广东省,2019.10.26-2020.10.25
2203,中国化学奥林匹克,美国慈善援助基金会,中国化学会,"河南省,上海市,北京市",2019.10.01-2020.08.30
2202,香港恩泉基金会到校开展助学活动,恩泉基金会有限司,重庆市奉节永安中学校,重庆市,2019.10.30-2019.12.06
2201,香港希望之友教育基金-湖北爱心助学金捐赠,希望之友教育基金有限公司,武汉大学教育发展基金会,湖北省,2019.08.28-2020.08.27
2200,农村儿童及社区居家养老的升级服务,粮惠世界,中华基督教青年会全国协会,"湖北省,四川省,陕西省,福建省,浙江省",2019.06.21-2020.03.31
2199,农村儿童及社区居家养老的升级服务,粮惠世界,中华基督教女青年会全国协会,"湖北省,四川省,陕西省,福建省,浙江省",2019.06.21-2020.03.31
2198,全球授权展·中国站,国际授权业协会,上海市动漫行业协会,上海市,2019.07.23-2019.07.27
2197,1型糖尿病患者规范化管理和教育项目,美国慈善援助基金会,北京糖尿病防治协会,北京市,2019.10.15-2020.06.30
2196,渝台书画名家艺术联展,"台湾艺术学会,中华民族团结协会",重庆美术馆,重庆市,2019.10.16-2019.10.27
2195,“李华的认知艺术与质朴的非洲民间艺术”展览,中国奥利地艺术学会,重庆美术馆,重庆市,2019.09.29-2019.10.09
2194,香港海鸥助学团来校开展助学活动,香港海鸥助学团有限公司,西北师范大学,甘肃省,2019.10.05-2019.11.30
2193,思源奖助学金,思源基金会,中国科学技术大学教育基金会,安徽省,2019.08.01-2020.07.31
2192,光华奖学金,光华教育基金会有限公司,中国科学技术大学教育基金会,安徽省,2019.08.01-2020.07.31
2191,河北省倍慈慈善基金会自助组,嘉道理慈善基金,河北省倍慈慈善基金会,河北省,2019.07.17-2019.12.31
2190,中国气候变化政策进展评估研究,绿色和平,清华大学,北京市,2019.08.31-2020.06.30
2189,清华大学苏世民项目,苏世民教育基金会,清华大学教育基金会,北京市,2019.11.20-2020.11.19
2188,博彩从业员志愿服务亲观点-交流团,澳门博彩从业员志愿者协会,佛山市志愿者联合会,广东省,2019.10.19-2019.10.20
2187,生活教育基金会（ LEF USA.ORG）助学之旅,美国生活教育基金会,南丹县学生资助管理中心,广西壮族自治区,2019.10.21-2020.10.20
2186,我家的两岸故事〜迁台历史记忆两岸四城巡展上海展,财团法人沈春池文教基金会,上海市海峡两岸交流促进会,上海市,2019.10.09-2019.10.18
2185,可扩展商业报告语言国际会议：增强数据价值2019,XBRL国际组织,上海财经大学,上海市,2019.10.21-2019.10.24
2184,香港慈恩基金会到六盘水为学生送关爱,慈恩基金会有限公司,六盘水市智力支边办联系小组办公室 ,贵州省,2019.10.20-2019.12.05
2183,树华奖学金,树华教育基金会,中国教育发展基金会,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,重庆市,四川省,贵州省,云南省,陕西省,甘肃省,青海省,新疆维吾尔自治区,新疆兵团",2019.10.15-2020.10.14
2182,2019北京大学-嘉里集团郭氏基金奖学金,郭氏基金有限公司,北京大学教育基金会,北京市,2019.10.15-2020.05.15
2181,世界医学教育联合会（WFME）机构认定现场考察,世界医学教育联合会,教育部临床医学专业认证工作委员会,"北京市,上海市",2019.10.20-2019.10.27
2180,微笑阅读天使培训计划,陳一心家族慈善基金有限公司,上海微笑青年公益服务中心,"上海市,山东省",2019.09.11-2020.07.31
2179,美洲至孝笃亲总公所第三十四届恳亲代表大会,美洲至孝笃亲总公所,肇庆市归国华侨联合会,广东省,2019.10.28-2019.11.02
2178,粤港澳“大湾区杯”少儿围棋百杰万人大赛,香港广东各级政协委员联谊会有限公司,广东省围棋协会,广东省,2019.10.25-2019.12.25
2177,华人慈爱基金总会2019年台山市助学行动,华人慈爱基金总会,台山市侨务局,广东省,2019.11.03-2019.11.10
2176,世界梅氏宗亲会第十四届恳亲大会,世界梅氏宗亲会,台山市端芬梅家大院历史文化研究会,广东省,2019.11.12-2019.11.14
2175,宏施基金2019年10月志愿者敬老培训活动,宏施慈善基金,韶关市曲江区志愿者协会,广东省,2019.10.14-2019.10.15
2174,雅礼协会代表访问昆明医科大学并面试贾氏奖学金候选人,雅礼协会,昆明医科大学,云南省,2019.10.11-2019.10.13
2173,“艺术共融”香港美协会员作品·珠海展,香港美协,珠海市古元美术馆,广东省,2019.10.17-2019.10.30
2172,PPI 2019 亚太论坛,太平洋养老金与投资协会,上海市国际股权投资基金协会,上海市,2019.11.03-2019.11.08
2171,中欧企业家峰会青岛论坛,中外企业家联合会,青岛市市南区人民政府,山东省,2019.11.02-2019.11.03
2170,中山市友协成立30周年暨世界华商中山行活动,世界华商组织联盟,中山市人民对外友好协会,广东省,2019.10.19-2019.10.20
2169,香港马鞍山扶苗探访活动,香港马鞍山扶苗之友会有限公司,玉林市特殊教育学校,广西壮族自治区,2019.12.02-2019.12.02
2168,2019年同心助学秋季发放活动,童飞翔,韶关市浈江区志愿者联合会,广东省,2019.10.18-2019.10.20
2167,香港余氏宗亲会2019年电教设备捐赠活动,香港余氏宗亲会,台山市武溪中学,广东省,2019.10.20-2019.10.30
2166,“减少一次性塑料包装解决方案创新推广”项目 ,绿色和平,中华环保联合会,"北京市,广东省,四川省,浙江省,上海市,海南省",2019.08.15-2020.02.29
2165,巴东木莲内在濒危机制研究及综合保护,国际植物园保护联盟,中国科学院武汉植物园,湖北省,2019.09.26-2019.12.31
2164,德-中医院友好协会与鄂东医疗集团市中心医院学术交流,德-中医院友好协会德国Helios集团洛特维尔医院/中国湖北黄石市中心医院,鄂东医疗集团市中心医院,湖北省,2019.10.19-2019.10.25
2163,“情暖金秋，爱满重阳”港人义工服务活动,新家园协会有限公司,广东省青年联合会秘书处,广东省,2019.10.10-2019.10.12
2162,中欧循环经济合作专题研讨会-塑料专场,艾伦麦克阿瑟基金会,中国循环经济协会,北京市,2020.02.01-2020.04.30
2161,中欧循环经济合作利益相关方闭门圆桌会议,艾伦麦克阿瑟基金会,中国循环经济协会,北京市,2019.12.01-2020.01.31
2160,中欧循环经济在城市合作对话—助力中国无废城市试点建,艾伦麦克阿瑟基金会,中国循环经济协会,北京市,2019.11.01-2019.12.31
2159,2019中国循环经济发展论坛,艾伦麦克阿瑟基金,中国循环经济协会,江苏省,2019.10.20-2019.10.20
2158,第七届国际废旧纺织品综合利用产业发展论坛,艾伦麦克阿瑟基金会,中国循环经济协会,江苏省,2019.10.21-2019.10.21
2157,中欧大学生循环设计挑战赛,艾伦麦克阿瑟基金会,中国循环经济协会,"北京市,上海市",2019.08.31-2020.03.31
2156,北京军控研讨会,减少核威胁倡议组织,中国军控与裁军协会,广东省,2019.10.15-2019.10.18
2155,全球环境标志网络（GEN）2019年会,全球环境标志网络,生态环境部环境发展中心,江苏省,2019.10.20-2019.10.24
2154,2019 “沁源希望班”开班仪式及受助学生家访活动,沁源慈善基金会,云南省青少年发展基金会,云南省,2019.10.11-2019.10.13
2153,在华澳大利亚研究基金会第七届国际学术研讨会会议,在华澳大利亚研究基金会,苏州独墅湖创业发展中心,江苏省,2019.11.21-2019.11.24
2152,驻校社工,精进基金有限公司,北川羌族自治县大鱼青少年公益发展中心,四川省,2019.10.14-2020.08.31
2151,生计助学,精进基金有限公司,北川羌族自治县大鱼青少年公益发展中心,四川省,2019.10.14-2020.08.31
2150,凉山女童助学专案,精进基金有限公司,北川羌族自治县大鱼青少年公益发展中心,四川省,2019.10.14-2020.08.31
2149,澳门文化艺术协会来访,"澳门文化艺术协会,澳门文化艺术协会",中国文学艺术基金会,陕西省,2019.10.09-2019.10.15
2148,2019年全球华人遗传学大会,美洲华人遗传学会,复旦大学生命科学学院,上海市,2019.08.23-2019.08.25
2147,残障与社会融合理念及实务探讨项目,罗尔∙瓦伦堡人权与人道法研究所,武汉市武昌区东湖公益服务中心,湖北省,2019.09.17-2019.12.31
2146,新鸿基地产郭氏励学金,新鸿基地产郭氏基金有限公司,天津大学北洋教育发展基金会,天津市,2019.09.09-2020.09.08
2145,天津论坛（2019）,韩国崔鈡贤学术院,周恩来政府管理学院,天津市,2019.10.18-2019.10.21
2144,学术讲座：服装行业能否保持可持续发展？,国际社会责任组织,东华大学纺织学院,上海市,2019.09.17-2019.09.17
2143,2019亚洲消费电子展,美国消费技术协会,上海市浦东新区现代服务业促进会,上海市,2019.06.11-2019.06.13
2142,加拿大文更捐资助学及回访项目活动,文化更新研究中心,广西协力扶助基金会,广西壮族自治区,2019.09.20-2020.08.31
2141,和桂基金有限公司2019年捐助活动,和桂基金有限公司,广西协力扶助基金会,广西壮族自治区,2019.09.16-2020.08.31
2140,“阳光计划”2019年英语夏令营活动,文化更新研究中心,广西协力扶助基金会,广西壮族自治区,2019.09.20-2019.09.29
2139,立昇高中助学活动,立昇慈善教育基金会有限公司,连南瑶族自治县民族高级中学,广东省,2019.09.28-2019.09.29
2138,推动广州减塑行动,UPS基金会,广州市天河区绿色城乡生态社区发展中心,广东省,2020.01.01-2020.12.31
2137,唯立文教爱心基金,唯立文教基金会,重庆市青少年发展基金会,重庆市,2019.09.11-2020.09.10
2136,“余锦炯•张襯慈善公益金” 2019年下半年慈善活,亿京慈善基金有限公司,开平市慈善会,广东省,2019.09.20-2019.12.31
2135,真诚助学探访活动,真诚助学会,连南瑶族自治县高级中学,广东省,2019.10.20-2019.10.22
2134,亚洲轮椅交流中心到校回访及捐赠轮椅、助学金活动,亚洲轮椅友好交流中心,云南特殊教育职业学院（加挂云南省华夏中等专业牌子）,云南省,2019.09.24-2019.09.25
2133,“亮眼计划”义诊活动,视力保护,贵州中医药大学第一附属医院,贵州省,2019.09.02-2019.09.06
2132,开展城市发展和土地政策领域的科研会议培训资助活动,林肯土地政策研究院,北京大学,北京市,2019.09.10-2020.06.30
2131,有机产业与乡村振兴国际会议（2019）,国际有机农业研究所,中国农业大学资源与环境学院,北京市,2019.09.24-2019.09.26
2130,香港福慧慈善基金会助学活动,福慧慈善基金会,上海市华东师范大学教育发展基金会,上海市,2019.10.14-2020.05.31
2129,社区积极参与下广西恭城县喀斯特植物多样性生态修复,国际植物园保护联盟,广西壮族自治区中国科学院广西植物研究所,广西壮族自治区,2019.09.25-2019.12.31
2128,慈恩基金会有限公司捐资援建临洮县连儿湾爱心饮水项目,"香港慈恩慈善基金有限公司,香港慈恩慈善基金会有限公司",甘肃省定西市临洮县连儿湾乡人民政府,甘肃省,2019.09.16-2019.10.31
2127,惠州市第五届香港耳聪工程,耳听心言基金,惠州市第三人民医院,广东省,2019.10.24-2019.10.27
2126,2019年度接受腾讯公益慈善基金会捐赠资金,腾讯公益慈善基金会,湖北一丹大学教育发展基金会,湖北省,2019.08.19-2019.12.31
2125,2019年徐贯宏夫妇资助金,唯立文教基金会,重庆市青少年发展基金会,重庆市,2019.08.15-2020.08.01
2124,玉树合作社可持续增收项目,亚洲国际团结协会,曲麻莱县心捻畜牧专业合作社,青海省,2019.09.01-2020.08.31
2123,中国企业海外项目履行环境和社会责任情况研究（二期）,国际河流环境保护组织协会,中国国际民间组织合作促进会,北京市,2019.09.01-2020.08.31
2122,2019年海外访学研讨会,国际学生教育学院,中国教育国际交流协会,辽宁省,2019.09.19-2019.09.21
2121,快乐巴士项目,德国米苏尔社会发展基金会 ,西宁市曙光公益援助中心,青海省,2019.08.04-2020.08.03
2120,苗圃行动“2019年送爱暖童心”棉衣派发活动,苗圃行动,青海省青少年发展基金会,青海省,2019.09.16-2019.11.08
2119,清华大学苏世民项目,清华北美教育基金会,清华大学教育基金会,北京市,2019.10.10-2020.10.09
2118,2019年国际盆景大会,国际盆景赏石协会,遵义市政协,贵州省,2019.09.17-2019.12.31
2117,大修期间防异物管理,世界核电运营者协会东京中心,中国核能行业协会,浙江省,2019.10.19-2019.10.27
2116,连平县“励协”圆梦大学,励协慈善基金会有限公司,连平县青少年扶助协会,广东省,2019.09.18-2019.09.30
2115,甘肃省会宁县大学生资助,慈恩基金会有限公司,甘肃省人民政府外事办公室交流合作处（港澳事务处）,甘肃省,2019.09.27-2020.09.15
2114,奖助学金捐赠、发放,思源基金会,南京农业大学教育发展基金会,江苏省,2019.06.13-2019.09.02
2113,南京大学“新鸿基地产郭氏基金助学金”（2019）,新鸿基地产郭氏基金有限公司,南京大学教育发展基金会,江苏省,2019.09.02-2020.09.01
2112,公益财团法人笹川和平财团与南京大学合作项目,公益财团法人笹川和平财团,南京大学教育发展基金会,江苏省,2019.08.15-2020.08.14
2111,接收美国东南亚神学教育基金会2019年资助金,东南亚神学教育基金会,金陵协和神学院,江苏省,2019.05.06-2019.12.31
2110,“一帮一”助学活动,"国际儿童慈善基金会,国际儿童慈善基金会",重庆市綦江区慈善会,重庆市,2019.10.08-2019.10.11
2109,合肥市艾滋病高危人群行为干预和感染者关怀活动,贝利马丁基金会,合肥市庐阳区青卫公共健康服务中心,安徽省,2019.09.20-2020.06.30
2108,香港旭日扶轮社到乳源高级中学捐资助学活动,香港旭日扶轮社（慈善）有限公司,乳源高级中学,广东省,2019.07.10-2019.12.31
2107,AFS国际文化交流项目,AFS国际文化交流组织,中国教育国际交流协会,"安徽省,辽宁省,北京市,江苏省,广东省,海南省,河北省,黑龙江省,河南省,上海市,山东省,江西省,四川省,湖南省",2019.09.01-2020.08.31
2106,澳门教师志愿者协会支教活动,澳门教师志愿者协会,张家界市永定区桐花树教育培训学校,湖南省,2019.08.18-2019.08.19
2105,侨港同乡会扶贫困学活动,僑港恩平同鄉會有限公司,大田镇社会事务与社会保障办公室,广东省,2019.09.15-2019.09.15
2104,2019封开唇腭裂公益救助行动和封开光明行动,香港圆玄学院,广东省封开县中医院,广东省,2019.10.11-2020.10.10
2103,中国烛光教育基金有限公司捐资助学活动,中国烛光教育基金有限公司,江西省妇女儿童发展基金会,江西省,2019.09.20-2020.09.19
2102,西双版纳国家级自然保护区亚洲象栖息地修复项目,绿色和平,西双版纳州热带雨林保护基金会,"云南省,北京市",2019.09.10-2020.06.30
